pc1,pc2,FloorRate,Orientation
2.535788555700534,1.5246681290077484,0.363,Heterosexual
-0.6989060558112492,-1.8763265960304925,0.182,Heterosexual
0.04923024551787661,0.47792569565920695,0.307,Pansexual
0.6112744244947618,-0.3136345386345458,0.108,Heterosexual
-1.1833845429386078,-0.855673784381535,0.115,Bisexual
0.003098359358922195,0.49819954434204405,0.277,Homosexual
-0.0013355787868970443,-1.2988298839583945,0.256,Bisexual
-2.6320864595181312,0.2969447093735229,0.132,Heterosexual
1.52648700849524,1.3132589490093318,0.277,Homosexual
0.9007477738793243,0.1766893485364619,0.421,Bisexual
-0.9381434609501396,-0.8763224285128013,0.335,Heterosexual
-0.25732239179358174,-1.779308714189156,0.201,Bisexual
0.7579490612951274,-1.2819581823068567,0.122,Bisexual
-0.3920346227874705,-1.8412221298950011,0.251,Bisexual
-0.3641236180088199,1.5996324299303215,0.33,Heterosexual
-2.179862118736186,-0.2494845009310909,0.269,Pansexual
0.8318704678378317,-1.0451640293952655,0.138,Homosexual
0.18582135793055765,-1.2982087106784403,0.295,Heterosexual
0.41168988563994535,-1.0672453145623928,0.177,Bisexual
-2.2897867978047604,-0.3358428718030399,0.408,Heterosexual
2.4760495367797133,-1.2826106143916156,0.321,Heterosexual
0.23150330318453705,1.6763075942904078,0.06,Heterosexual
-0.5807099149295822,-0.7473893909910585,0.09,Homosexual
3.0436083311416677,-0.7825828937014139,0.23,Heterosexual
-0.06807904479096911,0.3077581696554578,0.286,Asexual
-2.176018048719862,1.4505843561974607,0.235,Bisexual
-0.6078417831415301,1.3239760483922551,0.254,Heterosexual
-3.4324726529575846,-0.48781932700208247,0.616,Pansexual
1.574094824014882,0.2554280224485768,0.152,Heterosexual
-0.6247114777800278,0.14929544948506882,0.121,Heterosexual
-1.1138302878068513,0.5298944915071431,0.238,Bisexual
1.6087051973632427,0.255704634022,0.078,Heterosexual
-2.4766133841087585,-0.9438283827641728,0.212,Heterosexual
0.8031440344891365,-1.260190121050606,0.084,Heterosexual
-3.096622204681763,0.1756555471097887,0.202,Heterosexual
-0.993239009500213,-1.1835381169098396,0.254,Heterosexual
-1.806329768399599,1.3632233885660603,0.151,Homosexual
2.192963440820286,0.0399298116709347,0.123,Heterosexual
2.6492413168940008,-1.0260775627122463,0.344,Heterosexual
-0.49412062786959765,-0.3216348520233525,0.277,Asexual
1.2610998632153037,-0.5073072895842213,0.154,Homosexual
-0.2699796018785255,-0.13123982066428486,0.216,Heterosexual
0.8520928309919729,0.9458488496495835,0.146,Heterosexual
-1.129255794632197,-1.4444279324225524,0.098,Pansexual
-2.5625088047505837,-1.867576735251714,0.197,Heterosexual
-2.7046479877196115,0.33805095301867694,0.187,Heterosexual
0.574682777636268,-0.17728286732464843,0.268,Heterosexual
3.371392579211549,0.16322503808767205,0.383,Bisexual
0.4041174457618305,0.4445465364536674,0.174,Homosexual
-0.7869069291012785,-0.1810483774096944,0.562,Pansexual
2.8680282934979107,0.7996897369928974,0.16,Pansexual
0.35595276995579017,-0.8930015199534863,0.011,Bisexual
0.15215097781742315,0.06437759426203765,0.374,Heterosexual
0.3788666033329763,-0.8307620094000847,0.091,Homosexual
-0.19856579635027072,-1.129905668426136,0.075,Pansexual
-0.4642145108833206,0.6154489093003492,0.128,Bisexual
-2.1524451990533313,0.5690531419552108,0.078,Bisexual
0.7524361847715612,-1.9419800807951197,0.193,Pansexual
-0.14216317565984124,-1.1219992415883733,0.174,Heterosexual
1.789628883516016,0.2919843300166146,0.116,Bisexual
-0.5532277026717694,1.0702320445929348,0.375,Bisexual
-2.8595548177957015,-0.6659603217218306,0.084,Heterosexual
-0.1494159478422967,-0.18381012037908717,0.224,Bisexual
2.549305945120021,-1.4133466221230166,0.219,Heterosexual
