Q1_Need,Q2_Need,Q3_Need,Q4_Need,Q5_Need,Orientation,Age
5.745071229516849,4.916076218594776,4.513977233290704,4.882650542163605,7.1252245026479075,Heterosexual,58
4.792603548243223,4.232422508046254,1.1556693516447492,0.7623305393173885,6.570594458874747,Bisexual,33
5.971532807151039,6.718826412274301,4.73921184021132,4.767956663146138,7.122297503032284,Heterosexual,46
7.284544784612038,7.894915050045503,5.711275717609902,6.989727580217201,7.5432980290363885,Heterosexual,47
4.648769937914996,4.627868343950848,3.8268698064474016,4.0179688744673046,7.048860070325705,Heterosexual,29
4.648794564576229,4.7661219478850105,6.753591625116131,6.80002817327228,7.040591691203883,Heterosexual,52
7.368819223261087,8.646484119049513,1.452421601792854,0.09256546081293471,6.298008312193245,Bisexual,28
6.151152093729364,5.559580704893533,0.5106905933771659,1.2569441594043866,6.337099082449051,Bisexual,63
4.295788421097572,4.84288580226761,-0.5574404978085572,0.08804368333251822,5.597394728200307,Bisexual,38
5.813840065378947,5.611647412945053,5.9920886229783665,8.155343346283827,8.749576743186939,Homosexual,38
4.304873460781307,4.087192257554086,4.308731312708115,4.000953077755114,5.756136764608715,Heterosexual,22
4.301405369644614,5.4001822216318045,2.88883065817909,3.1079809858430285,6.307094802204093,Heterosexual,37
5.362943407349051,6.188359756337081,3.5599372526396404,3.809320936350396,6.281592734430802,Heterosexual,54
2.1300796330133034,2.943589269013942,0.749021905403247,2.3264751851667214,7.8949243769444415,Heterosexual,20
2.4126232512304506,3.7181020583847797,7.891503959233653,7.7962084268467,6.705050321707972,Heterosexual,61
4.156568706138541,4.1775725477713,3.258442363950455,3.5374638897207946,8.247742072673734,Heterosexual,50
3.480753319498364,4.162706290793328,3.218789589209786,3.8266860989263254,6.326509375756132,Homosexual,26
5.471370998892911,5.161104242299455,4.451533247797385,4.638142370953743,7.278994162223802,Bisexual,26
3.6379638867181834,3.9621302392066253,3.9620184634734263,3.5155848489228982,6.164652946740243,Pansexual,21
2.8815444479970624,2.751401393629378,3.4477680485582627,3.64185804145657,9.145149127773388,Pansexual,52
7.198473153382331,7.295469118375049,1.4190510891093762,2.492682838969148,5.812401580970487,Homosexual,34
4.661335549270197,5.25649257470711,3.9429367142719913,2.916421414860931,7.309820710227028,Heterosexual,51
5.101292307031886,4.283071623798413,6.764048992950068,6.897018667096944,7.633776880932098,Homosexual,41
2.8628777206798146,4.955264996365274,5.690840092309955,4.990719277370782,7.4137990974514985,Bisexual,49
4.183425913212226,3.1774085317125236,6.186373253278795,7.381419882203637,6.814712341122291,Heterosexual,18
5.166383884564799,3.9521952717770668,1.9775686471376295,0.45438174235385476,6.870179300266574,Heterosexual,25
3.2735096338665457,4.431620507366613,1.0207903594828382,0.4618685122112499,7.04381147197911,Bisexual,62
5.563547027518508,6.355209721481444,2.7484261598007036,3.1256380348652244,6.852997998371511,Heterosexual,40
4.099041965121793,4.723161782173948,3.1114498245773894,4.67697385381173,7.96387911679491,Homosexual,64
4.562459375310085,5.190804884574365,5.188383036941897,5.122632775868909,9.210523001591351,Homosexual,57
4.097440081655905,4.08519330880899,-0.38492925942963874,-0.940128786122837,6.442508214992166,Heterosexual,29
7.778417276763407,6.881162905277575,6.059100638921228,7.940257708361818,5.630197020420922,Heterosexual,29
4.979754162893099,5.055558721086825,2.683984202842021,1.235970302425777,6.911717951648745,Heterosexual,63
3.41343360656615,2.7362718950540383,2.1462378601051597,-0.052568096514922225,9.579709337654318,Heterosexual,64
6.233817368154783,7.208937101572534,0.9757912494796646,1.415805699532997,6.196325432030269,Heterosexual,32
3.1687345250434666,3.021677143541328,-0.3097133437315396,-0.8117675680841507,8.639116805444068,Bisexual,58
5.313295392507133,4.487798195714621,4.646341167923829,3.625108350793116,8.677700814076442,Heterosexual,36
2.0604948141803368,1.7391089725273434,3.1466359343768078,3.854992381676161,6.4464117582920055,Homosexual,43
3.0077209266523544,3.420652380927979,0.42007820051789224,0.6638789142890911,7.5689830791852755,Heterosexual,46
5.295291853803685,4.731567300999711,0.4098424558727678,-0.15423617486396057,8.628396623128538,Pansexual,39
6.107699869993116,5.285479474426684,2.3284306014197433,1.048126202748849,6.620872259012513,Heterosexual,57
5.257052421784956,5.5007396332768685,6.338043050578786,7.2105003788589315,6.796419639897638,Heterosexual,38
4.826527576417639,5.071494147526362,2.4808172972727904,3.1310184752314516,6.418319086051357,Asexual,55
4.548344456616067,4.041401281244937,-0.006285906236212391,-0.1054617700155953,5.985243269307134,Bisexual,37
2.782217014448859,2.3111787088305364,2.5085138718281117,4.3551508678757775,6.350722454933993,Heterosexual,46
3.920233687407937,4.152283624765573,2.4545528605046596,1.384468094178507,5.7760597332377435,Bisexual,21
4.309041843560319,2.8609575020629947,-2.3937732858831433,-3.919298456807882,7.034083468259226,Heterosexual,24
6.585683339328374,5.178219564951819,2.8914102669643755,2.199502197083131,6.230026768941358,Heterosexual,45
5.515427434352692,4.7969832131002565,2.538130939582644,2.492544923227146,7.233785911790748,Heterosexual,45
2.3554397669558993,2.1419926152440523,4.3924127296268365,4.635752178949528,5.444104353796373,Heterosexual,21
5.486125954092192,5.7970335196901965,6.69791218989069,6.45667613203436,7.330880232214457,Bisexual,39
4.422376579375525,5.897732796325077,5.253130059095515,5.605185455609812,7.833528961608924,Heterosexual,29
3.984616999541062,4.842276622743081,2.462222618890339,1.2106831946998948,5.006264357428544,Heterosexual,62
5.917514433261302,5.757575903297875,0.7869481825166598,2.2307127865899194,7.374056569847572,Bisexual,20
6.546499283743927,6.527483075841238,8.14671960649972,8.064568428107151,8.227668992473292,Bisexual,39
6.396920178674298,5.394390814036489,3.1184368680289767,4.235732699617104,5.790358981308795,Heterosexual,61
3.7411737151660422,3.7226605791736525,3.0278585838258922,3.3705839302035963,8.672572386837704,Homosexual,19
4.5361814362231785,4.2475227973030405,2.9517498257799932,3.408503044933777,7.419019009366045,Heterosexual,41
5.496895147105346,5.819613707443436,3.3961695215357106,3.9659368017679144,6.294988144241591,Bisexual,51
6.463317690683539,5.636086747131216,2.7112791761521144,3.158987736169429,6.944230922342294,Bisexual,44
4.281238643232065,4.800585157473237,1.8526759862395275,2.4953987461070715,7.558326912521722,Pansexual,58
4.721511535004274,6.254250448006852,1.9062821175192157,3.235434647651647,7.076005391412411,Heterosexual,18
3.3404975389909577,3.2317373905341,2.934493459568003,3.131014629269473,7.538755992446369,Heterosexual,25
3.205690063878994,3.6074017859779355,1.91315045773247,2.6221542153209825,6.079326406920634,Heterosexual,40
6.218788733591297,6.908932725302409,1.5743084346456713,1.4845727403584446,7.169360824036078,Heterosexual,55
7.0343600428562345,6.633139570970398,3.212860455383794,4.652977670833266,5.58628550309502,Heterosexual,23
4.891984817629499,5.116077299439916,2.4900455651582893,1.8136532630990196,6.888773938651299,Pansexual,39
6.5052993468380365,6.5178917476198315,6.007985977165377,7.808926410076192,6.09609235853521,Heterosexual,42
5.542454037571451,5.640130136120283,-2.301939616786024,-2.3420975674303675,6.264470057410233,Heterosexual,35
4.032320368092313,3.259310584236847,5.1830137038449235,3.7522386017268756,8.236093175210437,Bisexual,34
5.5420934082626205,5.566603582521563,5.492170384995259,5.620274799906047,8.091310120594269,Heterosexual,29
7.307054849698954,7.805053140944404,-1.146780464816299,-1.8278321222911798,7.609138120907177,Bisexual,23
4.946260941335073,6.397404549130115,2.3146248118393027,3.155268360828027,5.907687235327421,Heterosexual,43
7.346965483721009,8.306236309806216,2.257118268008417,1.6044942887060258,6.683591550305198,Heterosexual,44
1.0703823438653834,3.2235648013769396,0.18497661056435755,-0.26120682265042217,8.213097699979183,Heterosexual,25
6.232853756562836,5.465506193674786,1.4443666248182494,-0.4451741061272816,7.141716913639905,Heterosexual,36
5.130570602357257,6.002891239077935,0.7788483090683425,0.32654198981926574,9.319329539981695,Pansexual,59
4.551488974301198,4.73483098003955,6.504540886847245,4.080661560218289,7.3933178393943715,Heterosexual,18
5.137641164803253,7.3274440980209254,4.871356786294922,3.2874539628091988,7.192049116490032,Homosexual,46
2.0186466280986606,1.210348342743509,5.543110189988317,6.303524846132614,6.690883535797498,Heterosexual,62
4.670492168243732,3.830770326062956,4.44334412808647,5.229144286737302,7.133540904782282,Heterosexual,52
5.53566885726762,4.936276211823598,0.741896457565542,1.1673540193505068,6.8475301636194565,Asexual,57
7.2168410671122745,5.092945342802468,1.9509594674404527,0.9839833243112397,7.708108676688591,Heterosexual,31
